ID,Language_ID,Parameter_ID,Contribution_ID,Value,Source,Comment
GWI-39-1,http://asjp.clld.org/languages/GWI,39,GWI,!ei,,
GXANA-39-1,http://asjp.clld.org/languages/GXANA,39,GXANA,!ei,,
KHOEKHOEGOWAB-39-1,http://asjp.clld.org/languages/KHOEKHOEGOWAB,39,KHOEKHOEGOWAB,!gaes,,
KORANA-39-1,http://asjp.clld.org/languages/KORANA,39,KORANA,!na*u*,,
KWADI-39-1,http://asjp.clld.org/languages/KWADI,39,KWADI,godi,,
KWADI-39-2,http://asjp.clld.org/languages/KWADI,39,KWADI,gode,,
KXOE-39-1,http://asjp.clld.org/languages/KXOE,39,KXOE,!eE,,
MASARWA_TATI-39-1,http://asjp.clld.org/languages/MASARWA_TATI,39,MASARWA_TATI,Ce,,
NAMA-39-1,http://asjp.clld.org/languages/NAMA,39,NAMA,g!~ae,,
NAMA_2-39-1,http://asjp.clld.org/languages/NAMA_2,39,NAMA_2,!gais,,
NARO-39-1,http://asjp.clld.org/languages/NARO,39,NARO,!ae,,
NARON-39-1,http://asjp.clld.org/languages/NARON,39,NARON,!kesa,,
PROTO_CENTRAL_KHOISAN-39-1,http://asjp.clld.org/languages/PROTO_CENTRAL_KHOISAN,39,PROTO_CENTRAL_KHOISAN,!ae,,
PROTO_EAST_KHOE-39-1,http://asjp.clld.org/languages/PROTO_EAST_KHOE,39,PROTO_EAST_KHOE,ce,,
PROTO_KHOE-39-1,http://asjp.clld.org/languages/PROTO_KHOE,39,PROTO_KHOE,!ai,,
PROTO_WEST_KHOE-39-1,http://asjp.clld.org/languages/PROTO_WEST_KHOE,39,PROTO_WEST_KHOE,!e,,
HOAN-39-1,http://asjp.clld.org/languages/HOAN,39,HOAN,q!h$oe,,
JUHOAN-39-1,http://asjp.clld.org/languages/JUHOAN,39,JUHOAN,!h~wi,,
JUHOAN-39-2,http://asjp.clld.org/languages/JUHOAN,39,JUHOAN,!wa*!a,,
KAUEN-39-1,http://asjp.clld.org/languages/KAUEN,39,KAUEN,!kwi,,
KUNG-39-1,http://asjp.clld.org/languages/KUNG,39,KUNG,!kyi,,
KUNG-39-2,http://asjp.clld.org/languages/KUNG,39,KUNG,!yhi,,
KUNG_EKOKA-39-1,http://asjp.clld.org/languages/KUNG_EKOKA,39,KUNG_EKOKA,!7~hui,,
O_KUNG-39-1,http://asjp.clld.org/languages/O_KUNG,39,O_KUNG,!kwi,,
OUNG-39-1,http://asjp.clld.org/languages/OUNG,39,OUNG,!k~wi,,
PROTO_NORTHERN_KHOISAN-39-1,http://asjp.clld.org/languages/PROTO_NORTHERN_KHOISAN,39,PROTO_NORTHERN_KHOISAN,!7h~ui,,
SANDAWE-39-1,http://asjp.clld.org/languages/SANDAWE,39,SANDAWE,keke,,
AUNI-39-1,http://asjp.clld.org/languages/AUNI,39,AUNI,!nae,,
BATWA-39-1,http://asjp.clld.org/languages/BATWA,39,BATWA,Zwe,,
KAM_KA_KE-39-1,http://asjp.clld.org/languages/KAM_KA_KE,39,KAM_KA_KE,!nuntu,,
MASARWA_KAKIA-39-1,http://asjp.clld.org/languages/MASARWA_KAKIA,39,MASARWA_KAKIA,!nwa,,
NG_KE-39-1,http://asjp.clld.org/languages/NG_KE,39,NG_KE,!nwentu,,
NU-39-1,http://asjp.clld.org/languages/NU,39,NU,N!~ui*si,,
NU_EN-39-1,http://asjp.clld.org/languages/NU_EN,39,NU_EN,!nuSa,,
XOON-39-1,http://asjp.clld.org/languages/XOON,39,XOON,n!~uha*,,
XOON_MASARWA-39-1,http://asjp.clld.org/languages/XOON_MASARWA,39,XOON_MASARWA,n!w$a,,
XOON_NUEN-39-1,http://asjp.clld.org/languages/XOON_NUEN,39,XOON_NUEN,n!~uSa,,
HADZA-39-1,http://asjp.clld.org/languages/HADZA,39,HADZA,"haC""apiC""i",,
AWAK-39-1,http://asjp.clld.org/languages/AWAK,39,AWAK,bwara,,
