ID,Language_ID,Parameter_ID,Contribution_ID,Value,Source,Comment
GWI-54-1,http://asjp.clld.org/languages/GWI,54,GWI,kX~a,,
GXANA-54-1,http://asjp.clld.org/languages/GXANA,54,GXANA,kX~a,,
KHOEKHOEGOWAB-54-1,http://asjp.clld.org/languages/KHOEKHOEGOWAB,54,KHOEKHOEGOWAB,a,,
KHWE-54-1,http://asjp.clld.org/languages/KHWE,54,KHWE,"kx""~a",,
KORANA-54-1,http://asjp.clld.org/languages/KORANA,54,KORANA,kx7$a,,
KWADI-54-1,http://asjp.clld.org/languages/KWADI,54,KWADI,kalaka,,
KXOE-54-1,http://asjp.clld.org/languages/KXOE,54,KXOE,kx7$E,,
MASARWA_TATI-54-1,http://asjp.clld.org/languages/MASARWA_TATI,54,MASARWA_TATI,!kxa,,
MASARWA_TATI-54-2,http://asjp.clld.org/languages/MASARWA_TATI,54,MASARWA_TATI,"t""a",,
NAMA_2-54-1,http://asjp.clld.org/languages/NAMA_2,54,NAMA_2,a,,
NARO-54-1,http://asjp.clld.org/languages/NARO,54,NARO,kx7$a,,
NARON-54-1,http://asjp.clld.org/languages/NARON,54,NARON,"k""a",,
PROTO_CENTRAL_KHOISAN-54-1,http://asjp.clld.org/languages/PROTO_CENTRAL_KHOISAN,54,PROTO_CENTRAL_KHOISAN,kxa,,
PROTO_EAST_KHOE-54-1,http://asjp.clld.org/languages/PROTO_EAST_KHOE,54,PROTO_EAST_KHOE,k7a,,
PROTO_KHOE-54-1,http://asjp.clld.org/languages/PROTO_KHOE,54,PROTO_KHOE,"kx""~a",,
PROTO_WEST_KHOE-54-1,http://asjp.clld.org/languages/PROTO_WEST_KHOE,54,PROTO_WEST_KHOE,"kx""~a",,
HOAN-54-1,http://asjp.clld.org/languages/HOAN,54,HOAN,Cu,,
JUHOAN-54-1,http://asjp.clld.org/languages/JUHOAN,54,JUHOAN,Ch~i,,
KAUEN-54-1,http://asjp.clld.org/languages/KAUEN,54,KAUEN,Ci,,
